	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
98	2077	0	I	2020-03-20	2997	[]	2020-04-10	G22768	North America	USA
99		0	S			[]		G22769	North America	USA
100	2896	0	I	2020-03-11	7519	[]	2020-04-04	G22770	North America	USA
101		1	S			[]		G22771	North America	USA
102		1	S			[]		G22772	North America	USA
103		0	S			[]		G22773	North America	USA
104		1	S			[]		G22774	North America	USA
105		0	S			[]		G22775	North America	USA
106		1	S			[]		G22776	North America	USA
107		0	S			[]		G22777	North America	USA
108		1	S			[]		G22778	North America	USA
109		0	S			[]		G22779	North America	USA
110		0	S			[]		G22780	North America	USA
111		0	S			[]		G22781	North America	USA
112	7519	0	I	2020-03-10	1479	[]	2020-03-24	G22782	North America	USA
113		1	S			[]		G22783	North America	USA
114		0	S			[]		G22784	North America	USA
115		0	S			[]		G22785	North America	USA
116		0	S			[]		G22786	North America	USA
117		1	S			[]		G22787	North America	USA
118		0	S			[]		G22788	North America	USA
119		0	S			[]		G22789	North America	USA
120		1	S			[]		G22790	North America	USA
121		0	S			[]		G22791	North America	USA
122	6551	1	I	2020-03-20	2797	[]	2020-04-15	G22792	North America	USA
123		1	S			[]		G22793	North America	USA
124		0	S			[]		G22794	North America	USA
125		0	S			[]		G22795	North America	USA
126	3582	1	R	2020-03-15	2240	[]	2020-03-23	G22796	North America	USA
127		0	S			[]		G22797	North America	USA
128		1	S			[]		G22798	North America	USA
129		1	S			[]		G22799	North America	USA
130		1	S			[]		G22800	North America	USA
131		1	S			[]		G22801	North America	USA
132		1	S			[]		G22802	North America	USA
133		1	S			[]		G22803	North America	USA
134		1	S			[]		G22804	North America	USA
135		1	S			[]		G22805	North America	USA
136		1	S			[]		G22806	North America	USA
137		1	S			[]		G22807	North America	USA
138		1	S			[]		G22808	North America	USA
139		0	S			[]		G22809	North America	USA
140		0	S			[]		G22810	North America	USA
141		0	S			[]		G22811	North America	USA
142		1	S			[]		G22812	North America	USA
143		0	S			[]		G22813	North America	USA
144	184	0	I	2020-03-28	6219	[]	2020-04-01	G22814	North America	USA
145		1	S			[]		G22815	North America	USA
146		0	S			[]		G22816	North America	USA
147		0	S			[]		G22817	North America	USA
148	9861	1	I	2020-03-28	9046	[]	2020-04-05	G22818	North America	USA
149		0	S			[]		G22819	North America	USA
150		1	S			[]		G22820	North America	USA
151	7942	0	I	2020-03-31	2240	[]	2020-04-01	G22821	North America	USA
152		0	S			[]		G22822	North America	USA
153		0	S			[]		G22823	North America	USA
154	2917	1	I	2020-03-02	1000	[]	2020-03-22	G22824	North America	USA
155		0	S			[]		G22825	North America	USA
156		0	S			[]		G22826	North America	USA
157		0	S			[]		G22827	North America	USA
158		0	S			[]		G22828	North America	USA
159		1	S			[]		G22829	North America	USA
160		1	S			[]		G22830	North America	USA
161	202	1	R	2020-03-30	6551	[]	2020-03-31	G22831	North America	USA
162		1	S			[]		G22832	North America	USA
163		1	S			[]		G22833	North America	USA
164		0	S			[]		G22834	North America	USA
165		0	S			[]		G22835	North America	USA
166		0	S			[]		G22836	North America	USA
167	9640	1	I	2020-03-27	712	[]	2020-04-08	G22837	North America	USA
168	4269	1	I	2020-03-28	9046	[]	2020-04-06	G22838	North America	USA
169		1	S			[]		G22839	North America	USA
170		0	S			[]		G22840	North America	USA
171		1	S			[]		G22841	North America	USA
172		1	S			[]		G22842	North America	USA
173	9013	0	R	2020-03-14	5757	[]	2020-03-15	G22843	North America	USA
174		0	S			[]		G22844	North America	USA
175		1	S			[]		G22845	North America	USA
176		1	S			[]		G22846	North America	USA
177		1	S			[]		G22847	North America	USA
178		0	S			[]		G22848	North America	USA
179		1	S			[]		G22849	North America	USA
180	4507	1	I	2020-03-20	2797	[]	2020-03-31	G22850	North America	USA
181		0	S			[]		G22851	North America	USA
182		0	S			[]		G22852	North America	USA
183		0	S			[]		G22853	North America	USA
184	1586	1	I	2020-03-20	9887	[]	2020-04-02	G22854	North America	USA
185		0	S			[]		G22855	North America	USA
186		1	S			[]		G22856	North America	USA
187		1	S			[]		G22857	North America	USA
188		1	S			[]		G22858	North America	USA
189		0	S			[]		G22859	North America	USA
190		0	S			[]		G22860	North America	USA
191		1	S			[]		G22861	North America	USA
192		0	S			[]		G22862	North America	USA
193		1	S			[]		G22863	North America	USA
194		0	S			[]		G22864	North America	USA
195		0	S			[]		G22865	North America	USA
196	5122	0	I	2020-03-28	2917	[]	2020-04-14	G22866	North America	USA
197	1838	0	I	2020-03-14	3722	[]	2020-03-15	G22867	North America	USA
198		1	S			[]		G22868	North America	USA
199		1	S			[]		G22869	North America	USA
200	6412	1	I	2020-03-14	1817	[]	2020-03-21	G22870	North America	USA
201		0	S			[]		G22871	North America	USA
202	8539	0	R	2020-03-12	4615	[]	2020-03-13	G22872	North America	USA
203	9607	1	R	2020-03-03	2917	[]	2020-03-04	G22873	North America	USA
204		1	S			[]		G22874	North America	USA
205		1	S			[]		G22875	North America	USA
206		0	S			[]		G22876	North America	USA
207		0	S			[]		G22877	North America	USA
208		1	S			[]		G22878	North America	USA
209		1	S			[]		G22879	North America	USA
210	5890	0	R	2020-03-09	7922	[]	2020-03-11	G22880	North America	USA
211		0	S			[]		G22881	North America	USA
212		1	S			[]		G22882	North America	USA
213		1	S			[]		G22883	North America	USA
214		0	S			[]		G22884	North America	USA
215		0	S			[]		G22885	North America	USA
216	5532	0	I	2020-03-31	6470	[]	2020-04-30	G22886	North America	USA
217	2306	0	I	2020-03-28	2854	[]	2020-04-05	G22887	North America	USA
218		1	S			[]		G22888	North America	USA
219		1	S			[]		G22889	North America	USA
220	8235	1	I	2020-03-30	1838	[]	2020-04-02	G22890	North America	USA
221		1	S			[]		G22891	North America	USA
222		0	S			[]		G22892	North America	USA
223	7012	0	R	2020-03-15	1000	[]	2020-03-18	G22893	North America	USA
224		0	S			[]		G22894	North America	USA
225		0	S			[]		G22895	North America	USA
226		1	S			[]		G22896	North America	USA
227		0	S			[]		G22897	North America	USA
228		0	S			[]		G22898	North America	USA
229		0	S			[]		G22899	North America	USA
230		1	S			[]		G22900	North America	USA
231		0	S			[]		G22901	North America	USA
232	7596	0	I	2020-03-31	2896	[]	2020-04-14	G22902	North America	USA
233		0	S			[]		G22903	North America	USA
234		1	S			[]		G22904	North America	USA
235		1	S			[]		G22905	North America	USA
236		1	S			[]		G22906	North America	USA
237		0	S			[]		G22907	North America	USA
238		1	S			[]		G22908	North America	USA
239		0	S			[]		G22909	North America	USA
240	5311	1	I	2020-03-20	685	[]	2020-03-22	G22910	North America	USA
241		0	S			[]		G22911	North America	USA
242		1	S			[]		G22912	North America	USA
243		1	S			[]		G22913	North America	USA
244	1720	0	I	2020-03-17	7519	[]	2020-03-22	G22914	North America	USA
245		1	S			[]		G22915	North America	USA
246		1	S			[]		G22916	North America	USA
247		0	S			[]		G22917	North America	USA
248		1	S			[]		G22918	North America	USA
249		0	S			[]		G22919	North America	USA
250		1	S			[]		G22920	North America	USA
251	7683	1	I	2020-03-27	2917	[]	2020-04-09	G22921	North America	USA
252		1	S			[]		G22922	North America	USA
253		0	S			[]		G22923	North America	USA
254	9046	1	R	2020-03-20	6551	[]	2020-03-30	G22924	North America	USA
255		1	S			[]		G22925	North America	USA
256	3538	0	I	2020-03-28	7519	[]	2020-04-03	G22926	North America	USA
257		0	S			[]		G22927	North America	USA
258		1	S			[]		G22928	North America	USA
259	6551	0	I	2020-03-17	2896	[]	2020-03-22	G22929	North America	USA
260		1	S			[]		G22930	North America	USA
261		1	S			[]		G22931	North America	USA
262		0	S			[]		G22932	North America	USA
263		1	S			[]		G22933	North America	USA
264		0	S			[]		G22934	North America	USA
265		0	S			[]		G22935	North America	USA
266		1	S			[]		G22936	North America	USA
267		1	S			[]		G22937	North America	USA
268		0	S			[]		G22938	North America	USA
269	4717	1	I	2020-03-28	6412	[]	2020-03-31	G22939	North America	USA
270		1	S			[]		G22940	North America	USA
271		1	S			[]		G22941	North America	USA
272		1	S			[]		G22942	North America	USA
273		0	S			[]		G22943	North America	USA
274		0	S			[]		G22944	North America	USA
275		0	S			[]		G22945	North America	USA
276		1	S			[]		G22946	North America	USA
277		1	S			[]		G22947	North America	USA
278		1	S			[]		G22948	North America	USA
279		0	S			[]		G22949	North America	USA
280		0	S			[]		G22950	North America	USA
281		1	S			[]		G22951	North America	USA
282		1	S			[]		G22952	North America	USA
283		0	S			[]		G22953	North America	USA
284		0	S			[]		G22954	North America	USA
285		0	S			[]		G22955	North America	USA
286		1	S			[]		G22956	North America	USA
287		0	S			[]		G22957	North America	USA
288	4788	1	I	2020-03-31	5895	[]	2020-04-05	G22958	North America	USA
289		1	S			[]		G22959	North America	USA
290		0	S			[]		G22960	North America	USA
291		1	S			[]		G22961	North America	USA
292		1	S			[]		G22962	North America	USA
293	4464	1	R	2020-03-11	2240	[]	2020-03-27	G22963	North America	USA
294	3849	1	I	2020-03-31	6551	[]	2020-04-15	G22964	North America	USA
295		1	S			[]		G22965	North America	USA
296	1817	1	I	2020-03-12	4546	[]	2020-03-15	G22966	North America	USA
297		0	S			[]		G22967	North America	USA
298		0	S			[]		G22968	North America	USA
299		0	S			[]		G22969	North America	USA
300		1	S			[]		G22970	North America	USA
301		0	S			[]		G22971	North America	USA
302		0	S			[]		G22972	North America	USA
303		1	S			[]		G22973	North America	USA
304		0	S			[]		G22974	North America	USA
305	3027	0	I	2020-03-30	5311	[]	2020-03-30	G22975	North America	USA
306		1	S			[]		G22976	North America	USA
307		1	S			[]		G22977	North America	USA
308		0	S			[]		G22978	North America	USA
309		1	S			[]		G22979	North America	USA
310		0	S			[]		G22980	North America	USA
311	9529	0	I	2020-03-25	6219	[]	2020-03-26	G22981	North America	USA
312		1	S			[]		G22982	North America	USA
313	675	1	I	2020-03-25	2896	[]	2020-03-30	G22983	North America	USA
314		1	S			[]		G22984	North America	USA
315		0	S			[]		G22985	North America	USA
316		0	S			[]		G22986	North America	USA
317		0	S			[]		G22987	North America	USA
318		0	S			[]		G22988	North America	USA
319		0	S			[]		G22989	North America	USA
320	5757	1	I	2020-03-09	4676	[]	2020-03-27	G22990	North America	USA
321	9033	1	I	2020-03-28	9529	[]	2020-04-03	G22991	North America	USA
322		1	S			[]		G22992	North America	USA
323		1	S			[]		G22993	North America	USA
324		0	S			[]		G22994	North America	USA
325		1	S			[]		G22995	North America	USA
326		0	S			[]		G22996	North America	USA
327		1	S			[]		G22997	North America	USA
328	6219	0	I	2020-03-18	6412	[]	2020-03-23	G22998	North America	USA
329		1	S			[]		G22999	North America	USA
330		1	S			[]		G23000	North America	USA
331		1	S			[]		G23001	North America	USA
332		0	S			[]		G23002	North America	USA
333		1	S			[]		G23003	North America	USA
334		1	S			[]		G23004	North America	USA
335		0	S			[]		G23005	North America	USA
336		0	S			[]		G23006	North America	USA
337		0	S			[]		G23007	North America	USA
338		1	S			[]		G23008	North America	USA
339	3804	1	I	2020-03-27	1838	[]	2020-04-09	G23009	North America	USA
340		1	S			[]		G23010	North America	USA
341		1	S			[]		G23011	North America	USA
342		1	S			[]		G23012	North America	USA
343		1	S			[]		G23013	North America	USA
344		0	S			[]		G23014	North America	USA
345		1	S			[]		G23015	North America	USA
346		1	S			[]		G23016	North America	USA
347	5610	0	I	2020-03-20	110	[]	2020-03-27	G23017	North America	USA
348		0	S			[]		G23018	North America	USA
349		0	S			[]		G23019	North America	USA
350		0	S			[]		G23020	North America	USA
351		1	S			[]		G23021	North America	USA
352		1	S			[]		G23022	North America	USA
353		1	S			[]		G23023	North America	USA
354		1	S			[]		G23024	North America	USA
355		0	S			[]		G23025	North America	USA
356		1	S			[]		G23026	North America	USA
357		0	S			[]		G23027	North America	USA
358		1	S			[]		G23028	North America	USA
359		0	S			[]		G23029	North America	USA
360		0	S			[]		G23030	North America	USA
361		0	S			[]		G23031	North America	USA
362	7546	1	I	2020-03-20	8676	[]	2020-03-21	G23032	North America	USA
363		1	S			[]		G23033	North America	USA
364		0	S			[]		G23034	North America	USA
365		1	S			[]		G23035	North America	USA
366		1	S			[]		G23036	North America	USA
367		1	S			[]		G23037	North America	USA
368	7798	0	I	2020-03-25	7760	[]	2020-04-02	G23038	North America	USA
369		0	S			[]		G23039	North America	USA
370		1	S			[]		G23040	North America	USA
371	3722	0	R	2020-03-12	5353	[]	2020-03-25	G23041	North America	USA
372		0	S			[]		G23042	North America	USA
373		1	S			[]		G23043	North America	USA
374		0	S			[]		G23044	North America	USA
375		0	S			[]		G23045	North America	USA
376		1	S			[]		G23046	North America	USA
377	8676	1	I	2020-03-19	1000	[]	2020-03-26	G23047	North America	USA
378		0	S			[]		G23048	North America	USA
379		0	S			[]		G23049	North America	USA
380		1	S			[]		G23050	North America	USA
381		1	S			[]		G23051	North America	USA
382	3570	1	I	2020-03-14	2240	[]	2020-05-12	G23052	North America	USA
383		0	S			[]		G23053	North America	USA
384	8358	0	R	2020-03-14	5757	[]	2020-03-17	G23054	North America	USA
385		0	S			[]		G23055	North America	USA
386		0	S			[]		G23056	North America	USA
387		0	S			[]		G23057	North America	USA
388	2606	0	I	2020-03-29	5895	[]	2020-04-10	G23058	North America	USA
389		0	S			[]		G23059	North America	USA
390		1	S			[]		G23060	North America	USA
391		1	S			[]		G23061	North America	USA
392		1	S			[]		G23062	North America	USA
393		1	S			[]		G23063	North America	USA
394		0	S			[]		G23064	North America	USA
395		1	S			[]		G23065	North America	USA
396		1	S			[]		G23066	North America	USA
397	165	1	I	2020-03-28	8676	[]	2020-03-29	G23067	North America	USA
398	7918	1	I	2020-03-25	2917	[]	2020-03-26	G23068	North America	USA
399		0	S			[]		G23069	North America	USA
400		0	S			[]		G23070	North America	USA
401		1	S			[]		G23071	North America	USA
402		1	S			[]		G23072	North America	USA
403		1	S			[]		G23073	North America	USA
404		0	S			[]		G23074	North America	USA
405	831	0	I	2020-03-28	7519	[]	2020-04-03	G23075	North America	USA
406		0	S			[]		G23076	North America	USA
407		0	S			[]		G23077	North America	USA
408		1	S			[]		G23078	North America	USA
409		0	S			[]		G23079	North America	USA
410		0	S			[]		G23080	North America	USA
411		1	S			[]		G23081	North America	USA
412		0	S			[]		G23082	North America	USA
413		0	S			[]		G23083	North America	USA
414		0	S			[]		G23084	North America	USA
415		1	S			[]		G23085	North America	USA
416		1	S			[]		G23086	North America	USA
417	8069	1	I	2020-03-28	7798	[]	2020-04-15	G23087	North America	USA
418		0	S			[]		G23088	North America	USA
419		0	S			[]		G23089	North America	USA
420		0	S			[]		G23090	North America	USA
421		0	S			[]		G23091	North America	USA
422		0	S			[]		G23092	North America	USA
423		1	S			[]		G23093	North America	USA
424		1	S			[]		G23094	North America	USA
425		1	S			[]		G23095	North America	USA
426	8045	0	I	2020-03-28	6551	[]	2020-03-28	G23096	North America	USA
427	5897	1	I	2020-03-30	1720	[]	2020-04-21	G23097	North America	USA
428		1	S			[]		G23098	North America	USA
429		1	S			[]		G23099	North America	USA
430		1	S			[]		G23100	North America	USA
431	2172	1	I	2020-03-17	7519	[]	2020-03-23	G23101	North America	USA
432	2854	1	I	2020-03-12	5757	[]	2020-04-09	G23102	North America	USA
433		0	S			[]		G23103	North America	USA
434		0	S			[]		G23104	North America	USA
435		0	S			[]		G23105	North America	USA
436		1	S			[]		G23106	North America	USA
437		0	S			[]		G23107	North America	USA
438		1	S			[]		G23108	North America	USA
439		1	S			[]		G23109	North America	USA
440		1	S			[]		G23110	North America	USA
441		0	S			[]		G23111	North America	USA
442		0	S			[]		G23112	North America	USA
443		1	S			[]		G23113	North America	USA
444		0	S			[]		G23114	North America	USA
445		1	S			[]		G23115	North America	USA
446	7587	0	I	2020-03-17	3722	[]	2020-03-30	G23116	North America	USA
447		0	S			[]		G23117	North America	USA
448		1	S			[]		G23118	North America	USA
449		1	S			[]		G23119	North America	USA
450		1	S			[]		G23120	North America	USA
451		1	S			[]		G23121	North America	USA
452	9671	1	I	2020-03-27	7563	[]	2020-04-16	G23122	North America	USA
453	2006	1	I	2020-03-30	5895	[]	2020-04-22	G23123	North America	USA
454		1	S			[]		G23124	North America	USA
455		0	S			[]		G23125	North America	USA
456		1	S			[]		G23126	North America	USA
457		1	S			[]		G23127	North America	USA
458	8083	0	I	2020-03-25	2896	[]	2020-03-25	G23128	North America	USA
459		1	S			[]		G23129	North America	USA
460		0	S			[]		G23130	North America	USA
461		1	S			[]		G23131	North America	USA
462		0	S			[]		G23132	North America	USA
463		1	S			[]		G23133	North America	USA
464		1	S			[]		G23134	North America	USA
465		1	S			[]		G23135	North America	USA
466		0	S			[]		G23136	North America	USA
467		1	S			[]		G23137	North America	USA
468		0	S			[]		G23138	North America	USA
469		1	S			[]		G23139	North America	USA
470		1	S			[]		G23140	North America	USA
471		1	S			[]		G23141	North America	USA
472	1219	1	I	2020-03-30	1720	[]	2020-04-01	G23142	North America	USA
473	3441	1	I	2020-03-28	8083	[]	2020-04-11	G23143	North America	USA
474		0	S			[]		G23144	North America	USA
475		1	S			[]		G23145	North America	USA
476		1	S			[]		G23146	North America	USA
477	5897	0	I	2020-03-25	2797	[]	2020-04-01	G23147	North America	USA
478		1	S			[]		G23148	North America	USA
479		1	S			[]		G23149	North America	USA
480		1	S			[]		G23150	North America	USA
481		0	S			[]		G23151	North America	USA
482		0	S			[]		G23152	North America	USA
483		1	S			[]		G23153	North America	USA
484		0	S			[]		G23154	North America	USA
485		0	S			[]		G23155	North America	USA
486		0	S			[]		G23156	North America	USA
487	2453	1	I	2020-03-28	8676	[]	2020-05-01	G23157	North America	USA
488		1	S			[]		G23158	North America	USA
489		0	S			[]		G23159	North America	USA
490		0	S			[]		G23160	North America	USA
491		0	S			[]		G23161	North America	USA
492		1	S			[]		G23162	North America	USA
493	1479	0	R	2020-03-09	1000	[]	2020-03-14	G23163	North America	USA
494		0	S			[]		G23164	North America	USA
495	3823	1	I	2020-03-12	5353	[]	2020-04-15	G23165	North America	USA
496		0	S			[]		G23166	North America	USA
497		1	S			[]		G23167	North America	USA
498		1	S			[]		G23168	North America	USA
499		1	S			[]		G23169	North America	USA
500		0	S			[]		G23170	North America	USA
501		1	S			[]		G23171	North America	USA
502	5353	0	I	2020-03-07	6911	[]	2020-03-19	G23172	North America	USA
