	accession	location	state	infection_date	index_ID	descendants	recovery	strain	region	country
647		0	S			[]		G23317	North America	USA
648		1	S			[]		G23318	North America	USA
649		0	S			[]		G23319	North America	USA
650	7036	0	I	2020-03-08	6911	[]	2020-03-13	G23320	North America	USA
651		0	S			[]		G23321	North America	USA
652		0	S			[]		G23322	North America	USA
653		0	S			[]		G23323	North America	USA
654		0	S			[]		G23324	North America	USA
655		0	S			[]		G23325	North America	USA
656		1	S			[]		G23326	North America	USA
657		0	S			[]		G23327	North America	USA
658		1	S			[]		G23328	North America	USA
659		0	S			[]		G23329	North America	USA
660	1838	0	I	2020-03-18	2896	[]	2020-04-06	G23330	North America	USA
661		0	S			[]		G23331	North America	USA
662		1	S			[]		G23332	North America	USA
663	4615	1	I	2020-03-10	2997	[]	2020-03-23	G23333	North America	USA
664		0	S			[]		G23334	North America	USA
665	2215	0	I	2020-03-10	198	[]	2020-03-17	G23335	North America	USA
666	7922	1	R	2020-03-07	198	[]	2020-03-10	G23336	North America	USA
667		1	S			[]		G23337	North America	USA
668		1	S			[]		G23338	North America	USA
669		1	S			[]		G23339	North America	USA
670		0	S			[]		G23340	North America	USA
671		0	S			[]		G23341	North America	USA
672		0	S			[]		G23342	North America	USA
673		1	S			[]		G23343	North America	USA
674	8250	1	I	2020-03-31	1123	[]	2020-04-01	G23344	North America	USA
675		0	S			[]		G23345	North America	USA
676	110	1	I	2020-03-12	2896	[]	2020-03-13	G23346	North America	USA
677		0	S			[]		G23347	North America	USA
678		0	S			[]		G23348	North America	USA
679		0	S			[]		G23349	North America	USA
680		0	S			[]		G23350	North America	USA
681		0	S			[]		G23351	North America	USA
682		0	S			[]		G23352	North America	USA
683	7948	0	I	2020-03-20	1720	[]	2020-03-20	G23353	North America	USA
684	68	0	R	2020-03-17	6412	[]	2020-03-20	G23354	North America	USA
685		1	S			[]		G23355	North America	USA
686	2468	1	I	2020-03-25	5895	[]	2020-04-12	G23356	North America	USA
687		0	S			[]		G23357	North America	USA
688		1	S			[]		G23358	North America	USA
689		0	S			[]		G23359	North America	USA
690		0	S			[]		G23360	North America	USA
691		0	S			[]		G23361	North America	USA
692		1	S			[]		G23362	North America	USA
693		0	S			[]		G23363	North America	USA
694		1	S			[]		G23364	North America	USA
695		1	S			[]		G23365	North America	USA
696		0	S			[]		G23366	North America	USA
697		1	S			[]		G23367	North America	USA
698		1	S			[]		G23368	North America	USA
699		1	S			[]		G23369	North America	USA
700		0	S			[]		G23370	North America	USA
701		1	S			[]		G23371	North America	USA
702		0	S			[]		G23372	North America	USA
703		1	S			[]		G23373	North America	USA
704		1	S			[]		G23374	North America	USA
705		1	S			[]		G23375	North America	USA
706		1	S			[]		G23376	North America	USA
707	3655	1	I	2020-03-15	2797	[]	2020-03-17	G23377	North America	USA
708		0	S			[]		G23378	North America	USA
709		1	S			[]		G23379	North America	USA
710	2363	0	I	2020-03-12	4196	[]	2020-03-28	G23380	North America	USA
711		1	S			[]		G23381	North America	USA
712		0	S			[]		G23382	North America	USA
713	2381	1	I	2020-03-20	9887	[]	2020-03-26	G23383	North America	USA
714	2603	1	I	2020-03-25	2917	[]	2020-03-29	G23384	North America	USA
715		1	S			[]		G23385	North America	USA
716		1	S			[]		G23386	North America	USA
717	1721	1	I	2020-03-12	1479	[]	2020-03-17	G23387	North America	USA
